codigo,descricao
Q44.1,Outras Malformações Congênitas da Vesícula Biliar
Q44.2,Atresia Das Vias Biliares
Q44.3,Estenose e Estreitamento Congênitos Das Vias Biliares
Q44.4,Cisto do Colédoco
Q44.5,Outras Malformações Congênitas Das Vias Biliares
Q44.6,Doença Cística do Fígado
Q44.7,Outras Malformações Congênitas do Fígado
Q45,Outras Malformações Congênitas do Aparelho Digestivo
Q45.0,"Agenesia, Aplasia e Hipoplasia do Pâncreas"
Q45.1,Pâncreas Anular
Q45.2,Cisto Pancreático Congênito
Q45.3,Outras Malformações Congênitas do Pâncreas e do Duto Pancreático
Q45.8,Outras Malformações Congênitas Especificadas do Aparelho Digestivo
Q45.9,Malformação Congênita Não Especificada do Aparelho Digestivo
Q50,"Malformações Congênitas Dos Ovários, Das Trompas de Falópio e Dos Ligamentos Largos"
Q50.0,Ausência Congênita Dos Ovários
Q50.1,Cisto Ovariano de Desenvolvimento
Q50.2,Torsão Congênita do Ovário
Q50.3,Outras Malformações Congênitas do Ovário
Q50.4,Cisto Embrionário da Trompa de Falópio
Q50.5,Cisto Embrionário do Ligamento Largo
Q50.6,Outras Malformações Congênitas Das Trompas de Falópio e Dos Ligamentos Largos
Q51,Malformações Congênitas do Útero e do Colo do Útero
Q51.0,Agenesia e Aplasia do Útero
Q51.1,Útero Duplo Com Duplicação do Colo Uterino e da Vagina
Q51.2,Outra Duplicação do Útero
Q51.3,Útero Bicórneo
Q51.4,Útero Unicórneo
Q51.5,Agenesia e Aplasia do Colo do Útero
Q51.6,Cisto Embrionário do Colo do Útero
Q51.7,Fístula Congênita Útero-digestiva ou Útero-urinária
Q51.8,Outras Malformações Congênitas do Útero e do Colo do Útero
Q51.9,Malformação Congênita Não Especificada do Útero e do Colo do Útero SOE
Q52,Outras Malformações Congênitas Dos Órgãos Genitais Femininos
Q52.0,Ausência Congênita da Vagina
Q52.1,Duplicação da Vagina
Q52.2,Fístula Reto-vaginal Congênita
Q52.3,Imperfuração do Hímen
Q52.4,Outras Malformações Congênitas da Vagina
Q52.5,Fusão Dos Lábios Vulvares
Q52.6,Malformação Congênita do Clitóris
Q52.7,Outras Malformações Congênitas da Vulva
Q52.8,Outras Malformações Congênitas Especificadas Dos Órgãos Genitais Femininos
Q52.9,Malformação Congênita Não Especificada Dos Órgãos Genitais Femininos
Q53,Testículo Não-descido
Q53.0,Testículo Ectópico
Q53.1,"Testículo Não-descido, Unilateral"
Q53.2,"Testículo Não-descido, Bilateral"
Q53.9,"Testículo Não-descido, Não Especificado"
Q54,Hipospádias
Q54.0,Hipospádia Balânica
Q54.1,Hipospádia Peniana
Q54.2,Hipospádia Penoscrotal
Q54.3,Hipospádia Perineal
Q54.4,Corda Venérea Congênita
Q54.8,Outras Hipospádias
Q54.9,Hipospádia Não Especificada
Q55,Outras Malformações Congênitas Dos Órgãos Genitais Masculinos
Q55.0,Ausência e Aplasia do Testículo
Q55.1,Hipoplasia Do(s) Testículo(s) e do Escroto
Q55.2,Outras Malformações Congênitas Do(s) Testículo(s) e do Escroto
Q55.3,Atresia do Canal Deferente
Q55.4,"Outras Malformações Congênitas do Canal Deferente, do Epidídimo, Das Vesículas Seminais e da Próstata"
Q55.5,Ausência e Aplasia Congênitas do Pênis
Q55.6,Outras Malformações Congênitas do Pênis
Q55.8,Outras Malformações Congênitas Especificadas Dos Órgãos Genitais Masculinos
Q55.9,Malformação Congênita Não Especificada Dos Órgãos Genitais Masculinos
Q56,Sexo Indeterminado e Pseudo-hermafroditismo
Q56.0,Hermafroditismo Não Classificado em Outra Parte
Q56.1,"Pseudo-hermafroditismo Masculino, Não Classificado em Outra Parte"
Q56.2,"Pseudo-hermafroditismo Feminino, Não Classificado em Outra Parte"
Q56.3,Pseudo-hermafroditismo Não Especificado
Q56.4,"Sexo Indeterminado, Não Especificado"
Q60,Agenesia Renal e Outros Defeitos de Redução do Rim
Q60.0,Agenesia Unilateral do Rim
Q60.1,Agenesia Bilateral do Rim
Q60.2,Agenesia Renal Não Especificada
Q60.3,Hipoplasia Renal Unilateral
Q60.4,Hipoplasia Renal Bilateral
Q60.5,Hipoplasia Renal Não Especificada
Q60.6,Síndrome de Potter
Q61,Doenças Císticas do Rim
Q61.0,Cisto Congênito Único do Rim
Q61.1,"Rim Policístico, Autossômico Recessivo"
Q61.2,"Rim Policístico, Autossômico Dominante"
Q61.3,Rim Policístico Não Especificado
Q61.4,Displasia Renal
Q61.5,Cisto Medular do Rim
Q61.8,Outras Doenças Císticas do Rim
Q61.9,Doença Cística Não Especificada do Rim
Q62,Anomalias Congênitas Obstrutivas da Pelve Renal e Malformações Congênitas do Ureter
Q62.0,Hidronefrose Congênita
Q62.1,Atresia e Estenose do Ureter
Q62.2,Megaureter Congênito
Q62.3,Outras Anomalias Obstrutivas da Pelve Renal e do Ureter
Q62.4,Agenesia do Ureter
Q62.5,Duplicação do Ureter
Q62.6,Má-posição do Ureter
Q62.7,Refluxo Vésico-uretero-renal Congênito
Q62.8,Outras Malformações Congênitas do Ureter
Q63,Outras Malformações Congênitas do Rim
Q63.0,Rim Supranumerário
Q63.1,"Rim Lobulado, Fundido ou em Ferradura"
Q63.2,Rim Ectópico
Q63.3,Rim Hiperplásico e Gigante
Q63.8,Outras Malformações Congênitas Especificadas do Rim
Q63.9,Malformação Congênita Não Especificada do Rim
Q64,Outras Malformações Congênitas do Aparelho Urinário
Q64.0,Epispádias
Q64.1,Extrofia Vesical
Q64.2,Válvulas Uretrais Posteriores Congênitas
Q64.3,Outras Formas de Atresia e de Estenose de Uretra e do Colo da Bexiga
Q64.4,Malformação do Úraco
Q64.5,Ausência Congênita da Bexiga e da Uretra
Q64.6,Divertículo Congênito da Bexiga
Q64.7,Outras Malformações Congênitas da Bexiga e da Uretra
Q64.8,Outras Malformações Congênitas Especificadas do Aparelho Urinário
Q64.9,Malformação Congênita Não Especificada do Aparelho Urinário
Q65,Malformações Congênitas do Quadril
Q65.0,Luxação Congênita Unilateral do Quadril
Q65.1,Luxação Congênita Bilateral do Quadril
Q65.2,Luxação Congênita Não Especificada do Quadril
Q65.3,Subluxação Congênita Unilateral do Quadril
Q65.4,Subluxação Congênita Bilateral do Quadril
Q65.5,Subluxação Congênita Não Especificada do Quadril
Q65.6,Quadril Instável
Q65.8,Outras Deformidades Congênitas do Quadril
Q65.9,Deformidade Congênita Não Especificada do Quadril
Q66,Deformidades Congênitas do pé
Q66.0,Pé Torto Eqüinovaro
Q66.1,Pé Torto Calcaneovaro
Q66.2,Metatarso Varo
Q66.3,Outras Deformidades Congênitas Dos Pés em Varo
Q66.4,Pé Torto Calcaneovalgo
Q66.5,Pé Chato Congênito
Q66.6,Outras Deformidades Congênitas Dos Pés em Valgo
Q66.7,Pé Cavo
Q66.8,Outras Deformidades Congênitas do pé
Q66.9,Deformidade Congênita Não Especificada do pé
Q67,"Deformidades Osteomusculares Congênitas da Cabeça, da Face, da Coluna e do Tórax"
Q67.0,Assimetria Facial
Q67.1,Deformidade Facial Por Compressão
Q67.2,Dolicocefalia
Q67.3,Plagiocefalia
Q67.4,"Outras Deformidades Congênitas do Crânio, da Face e da Mandíbula"
Q67.5,Deformidades Congênitas da Coluna Vertebral
Q67.6,Tórax Escavado
Q67.7,Tórax Carinado
Q67.8,Outras Deformidades Congênitas do Tórax
Q68,Outras Deformidades Osteomusculares Congênitas
Q68.0,Deformidade Congênita do Músculo Esternocleidomastoideu
Q68.1,Deformidade Congênita da Mão
Q68.2,Deformidade Congênita do Joelho
Q68.3,Encurvamento Congênito do Fêmur
Q68.4,Encurvamento Congênito da Tíbia e da Perônio (fíbula)
Q68.5,Encurvamento Congênito de Ossos Longos Não Especificados do Membro Inferior
Q68.8,Outras Deformidades Osteomusculares Congênitas
Q69,Polidactilia
Q69.0,Dedo(s) da Mão Supranumerário(s)
Q69.1,Polegar(es) Supranumerário(s)
Q69.2,Artelho(s) Supranumerário(s)
Q69.9,Polidactilia Não Especificada
Q70,Sindactilia
Q70.0,Coalescência Dos Dedos (dedos da Mão Fundidos)
Q70.1,Dedos Palmados
Q70.2,Coalescência Dos Artelhos (artelhos Fundidos)
Q70.3,Artelhos Palmados
Q70.4,Polissindactilia
Q70.9,Sindactilia Não Especificada
Q71,"Defeitos, Por Redução, do Membro Superior"
Q71.0,Ausência Congênita Completa Do(s) Membro(s) Superior(es)
Q71.1,"Ausência Congênita do Braço e do Antebraço, Com Mão Presente"
Q71.2,Ausência Congênita do Antebraço e da Mão
Q71.3,Ausência Congênita da Mão e de Dedo(s)
Q71.4,Defeito de Redução Longitudinal do Rádio
Q71.5,Defeito de Redução Longitudinal do Cúbito (ulna)
Q71.6,Mão em Garra de Lagosta
Q71.8,Outros Defeitos de Redução do Membro Superior
Q71.9,"Defeito Por Redução do Membro Superior, Não Especificado"
Q72,"Defeitos, Por Redução, do Membro Inferior"
Q72.0,Ausência Congênita Completa Do(s) Membro(s) Inferior(es)
Q72.1,Ausência Congênita da Coxa e da Perna Com pé Presente
Q72.2,Ausência Congênita da Perna e do pé
Q72.3,Ausência Congênita do pé e de Artelho(s)
Q72.4,Defeito Por Redução Longitudinal da Tíbia
Q72.5,Defeito Por Redução Longitudinal da Tíbia
Q72.6,Defeito Por Redução Longitudinal do Perônio (fíbula)
Q72.7,Pé Bífido
Q72.8,Outros Defeitos Por Redução Do(s) Membro(s) Inferior(es)
Q72.9,Defeito Não Especificado Por Redução do Membro Inferior
Q73,Defeitos Por Redução de Membro Não Especificado
Q73.0,Ausência Congênita de Membro(s) Não Especificado(s)
Q73.1,"Focomelia, Membro(s) Não Especificado(s)"
Q73.8,Outros Defeitos Por Redução de Membro(s) Não Especificado(s)
Q74,Outras Malformações Congênitas Dos Membros
Q74.0,"Outras Malformações Congênitas Do(s) Membro(s) Superiores, Inclusive da Cintura Escapular"
Q74.1,Malformação Congênita do Joelho
Q74.2,"Outras Malformações Congênitas Do(s) Membro(s) Inferiores, Inclusive da Cintura Pélvica"
Q74.3,Artrogripose Congênita Múltipla
Q74.8,Outras Malformações Congênitas Especificadas de Membro(s)
Q74.9,Malformações Congênitas Não Especificadas de Membro(s)
Q75,Outras Malformações Congênitas Dos Ossos do Crânio e da Face
Q75.0,Craniossinostose
Q75.1,Disostose Craniofacial
Q75.2,Hipertelorismo
Q75.3,Macrocefalia
Q75.4,Disostose Mandíbulo-facial
Q75.5,Disostose Óculo-mandibular
Q75.8,Outras Malformações Congênitas Especificadas Dos Ossos do Crânio e da Face
Q75.9,Malformação Congênita Não Especificada Dos Ossos do Crânio e da Face
Q76,Malformações Congênitas da Coluna Vertebral e Dos Ossos do Tórax
Q76.0,Espinha Bífida Oculta
Q76.1,Síndrome de Klippel-Feil
Q76.2,Espondilolistese Congênita
Q76.3,Escoliose Congênita Devida à Malformação Óssea Congênita
Q76.4,Outras Malformações Congênitas da Coluna Vertebral Não-associadas Com Escoliose
Q76.5,Costela Cervical
Q76.6,Outras Malformações Congênitas Das Costelas
Q76.7,Malformação Congênita do Esterno
Q76.8,Outras Malformações Congênitas Dos Ossos do Tórax
Q76.9,Malformação Congênita Não Especificada Dos Ossos do Tórax
Q77,Osteocondrodisplasia Com Anomalias de Crescimento Dos Ossos Longos e da Coluna Vertebral
Q77.0,Acondrogenesia
Q77.1,Nanismo Tanatofórico
Q77.2,Síndrome Das Costelas Curtas
Q77.3,Condrodisplasia Puntacta
Q77.4,Acondroplasia
Q77.5,Displasia Diastrófica
Q77.6,Displasia Condroectodérmica
Q77.7,Displasia Espondiloepifisária
Q77.8,Outras Osteocondrodisplasias Com Anomalias do Crescimento Dos Ossos Longos e da Coluna Vertebral
Q77.9,Osteocondrodisplasia Não Especificada Com Anomalias do Crescimento Dos Ossos Longos e da Coluna Vertebral
Q78,Outras Osteocondrodisplasias
Q78.0,Osteogênese Imperfeita
Q78.1,Displasia Poliostótica Fibrosa
Q78.2,Osteopetrose
Q78.3,Displasia Diafisária Progressiva
Q78.4,Encondromatose
Q78.5,Displasia Metafisária
Q78.6,Exostoses Congênitas Múltiplas
Q78.8,Outras Osteocondrodisplasias Especificadas
Q78.9,Osteocondrodisplasia Não Especificada
Q79,Malformações Congênitas do Sistema Osteomuscular Não Classificadas em Outra Parte
Q79.0,Hérnia Diafragmática Congênita
Q79.1,Outras Malformações Congênitas do Diafragma
Q79.2,Exonfalia
Q79.3,Gastrosquise
Q79.4,"Síndrome do Abdome em Ameixa Seca (""prune Belly Syndrome"")"
Q79.5,Outras Malformações Congênitas da Parede Abdominal
Q79.6,Síndrome de Ehlers-Danlos
Q79.8,Outras Malformações Congênitas do Sistema Osteomuscular
Q79.9,Malformação Congênita Não Especificada do Sistema Osteomuscular
Q80,Ictiose Congênita
Q80.0,Ictiose Vulgar
Q80.1,Ictiose Ligada ao Cromossomo X
Q80.2,Ictiose Lamelar
Q80.3,Eritrodermia Ictiosiforme Bulhosa Congênita
Q80.4,Feto Arlequim
Q80.8,Outras Ictioses Congênitas
Q80.9,Ictiose Congênita Não Especificada
Q81,Epidermólise Bolhosa
Q81.0,Epidermólise Bolhosa Simples
Q81.1,Epidermólise Bolhosa Letal
Q81.2,Epidermólise Bolhosa Distrófica
Q81.8,Outras Epidermólises Bolhosas
Q81.9,Epidermólise Bolhosa Não Especificada
Q82,Outras Malformações Congênitas da Pele
Q82.0,Linfedema Hereditário
Q82.1,Xeroderma Pigmentoso
Q82.2,Mastocitose
Q82.3,Incontinentia Pigmenti
Q82.4,Displasia Ectodérmica (anidrótica)
Q82.5,Nevo Não-neoplásico Congênito
Q82.8,Outras Malformações Congênitas Especificadas da Pele
Q82.9,Malformação Congênita Não Especificada da Pele
Q83,Malformações Congênitas da Mama
Q83.0,Ausência Congênita da Mama Com Ausência do Mamilo
Q83.1,Mama Supranumerária
Q83.2,Ausência de Mamilo
Q83.3,Mamilo Acessório
Q83.8,Outras Malformações Congênitas da Mama
Q83.9,Malformação Congênita Não Especificada da Mama
Q84,Outras Malformações Congênitas do Tegumento
Q84.0,Alopécia Congênita
Q84.1,Alterações Morfológicas Congênitas Dos Cabelos Não Classificadas em Outra Parte
Q84.2,Outras Malformações Congênitas Dos Cabelos
Q84.3,Anoníquia
Q84.4,Leuconíquia Congênita
Q84.5,Hipertrofia e Alargamento Das Unhas
Q84.6,Outras Malformações Congênitas Das Unhas
Q84.8,Outras Malformações Congênitas Especificadas do Tegumento
Q84.9,Malformação Congênita Não Especificada do Tegumento
Q85,Facomatoses Não Classificadas em Outra Parte
Q85.0,Neurofibromatose (não-maligna)
Q85.1,Esclerose Tuberosa
Q85.8,Outras Facomatoses Não Classificadas em Outra Parte
Q85.9,Facomatose Não Especificada
Q86,"Síndromes Com Malformações Congênitas Devidas a Causas Exógenas Conhecidas, Não Classificadas em Outra Parte"
Q86.0,Síndrome Fetal Alcoólico (dismórfico)
Q86.1,Síndrome Fetal Devida à Hidantoína
Q86.2,Dismorfismo Devido ao Warfarin
Q86.8,Outras Síndromes Com Malformações Congênitas Devidas a Causas Exógenas Conhecidas
Q87,Outras Síndromes Com Malformações Congênitas Que Acometem Múltiplos Sistemas
Q87.0,Síndromes Com Malformações Congênitas Afetando Predominantemente o Aspecto da Face
Q87.1,Síndromes Com Malformações Congênitas Associadas Predominantemente Com Nanismo
Q87.2,Síndromes Com Malformações Congênitas Afetando Predominantemente os Membros
Q87.3,Síndromes Com Malformações Congênitas Com Hipercrescimento Precoce
Q87.4,Síndrome de Marfan
Q87.5,Outras Síndromes Com Malformações Congênitas Com Outras Alterações do Esqueleto
Q87.8,"Outras Síndromes Com Malformações Congênitas Especificadas, Não Classificadas em Outra Parte"
Q89,Outras Malformações Congênitas Não Classificadas em Outra Parte
Q89.0,Malformações Congênitas do Baço
Q89.1,Malformações Congênitas Das Supra-renais
Q89.2,Malformações Congênitas de Outras Glândulas Endócrinas
Q89.3,Situs Inversus
Q89.4,Reunião de Gêmeos
Q89.7,"Malformações Congênitas Múltiplas, Não Classificadas em Outra Parte"
Q89.8,Outras Malformações Congênitas Especificadas
Q89.9,Malformações Congênitas Não Especificadas
Q90,Síndrome de Down
Q90.0,"Trissomia 21, Não-disjunção Meiótica"
Q90.1,"Trissomia 21, Mosaicismo (não-disjunção Mitótica)"
Q90.2,"Trissomia 21, Translocação"
Q90.9,Síndrome de Down Não Especificada
Q91,Síndrome de Edwards e Síndrome de Patau
Q91.0,"Trissomia 18, Não-disjunção Meiótica"
Q91.1,"Trissomia 18, Mosaicismo Cromossômico (não-disjunção Mitótica)"
Q91.2,"Trissomia 18, Translocação"
Q91.3,Síndrome de Edwards Não Especificada
Q91.4,"Trissomia 13, Não-disjunção Meiótica"
Q91.5,"Trissomia 13, Mosaicismo Cromossômico (não-disjunção Mitótica)"
Q91.6,"Trissomia 13, Translocação"
Q91.7,Síndrome de Patau Não Especificada
Q92,"Outras Trissomias e Trissomias Parciais Dos Autossomos, Não Classificadas em Outra Parte"
Q92.0,"Trissomia de um Cromossomo Inteiro, Não-disjunção Meiótica"
Q92.1,"Trissomia de um Cromossomo Inteiro, Mosaicismo Cromossômico (não-disjunção Mitótica)"
Q92.2,Trissomia Parcial Major
Q92.3,Trissomia Parcial Minor
Q92.4,Duplicações Vistas Somente na Prometáfase
Q92.5,Duplicação Com Outros Rearranjos Complexos
Q92.6,Cromossomos Marcadores Suplementares
Q92.7,Triploidia e Poliploidia
Q92.8,Outras Trissomias Especificadas e Trissomias Parciais Dos Autossomos
Q92.9,Trissomia e Trissomia Parcial Não Especificada Dos Autossomos
Q93,"Monossomias e Deleções Dos Autossomos, Não Classificadas em Outra Parte"
Q93.0,"Monossomia de Cromossomo Inteiro, Não-disjunção Meiótica"
Q93.1,"Monossomia de Cromossomo Inteiro, Mosaicismo Cromossômico (não-disjunção Mitótica)"
Q93.2,Cromossomo Substituído Por Anel ou Dicêntrico
Q93.3,Deleção do Braço Curto do Cromossomo 4
Q93.4,Deleção do Braço Curto do Cromossomo 5
Q93.5,Outras Deleções Parciais de Cromossomo
Q93.6,Deleções Vistas Somente na Prometáfase
Q93.7,Deleções Com Outros Rearranjos Complexos
Q93.8,Outras Deleções Dos Autossomos
Q93.9,Deleções Não Especificadas Dos Autossomos
Q95,"Rearranjos Equilibrados e Marcadores Estruturais, Não Classificados em Outra Parte"
Q95.0,Translocação ou Inserção Equilibrada em Sujeito Normal
Q95.1,Inversão Cromossômica em Sujeito Normal
Q95.2,Rearranjo Autossômico Equilibrado em Sujeito Anormal
Q95.3,Rearranjo Sexual/autossômico Equilibrado em Sujeito Anormal
Q95.4,Sujeito Com Marcador de Heterocromatina
Q95.5,Sujeito Com Sítio Autossômico Frágil
Q95.8,Outros Rearranjos e Marcadores Equilibrados
Q95.9,Rearranjos e Marcadores Equilibrados Não Especificados
Q96,Síndrome de Turner
Q96.0,"Cariótipo 45, X"
Q96.1,"Cariótipo 46, X Iso (Xq)"
Q96.2,"Cariótipo 46, X Com Cromossomo Sexual Anormal, Salvo Iso (Xq)"
Q96.3,"Mosaicismo Cromossômico, 45, X/46, XX ou XY"
Q96.4,"Mosaicismo Cromossômico, 45, X/outra(s) Linhagens Celular(es) Com Cromossomo Sexual Anormal"
Q96.8,Outras Variantes da Síndrome de Turner
Q96.9,Síndrome de Turner Não Especificada
Q97,"Outras Anomalias Dos Cromossomos Sexuais, Fenótipo Feminino, Não Classificadas em Outra Parte"
Q97.0,"Cariótipo 47, XXX"
Q97.1,Mulher Com Mais de Três Cromossomos X
Q97.2,"Mosaicismo Cromossômico, Linhagens Com Diversos Números de Cromossomos X"
Q97.3,"Mulher Com Cariótipo 46, XY"
Q97.8,"Outras Anomalias Especificadas Dos Cromossomos Sexuais, Fenótipo Feminino"
Q97.9,"Anomalias Não Especificadas Dos Cromossomos Sexuais, Fenótipo Feminino"
Q98,"Outras Anomalias Dos Cromossomos Sexuais, Fenótipo Masculino, Não Classificadas em Outra Parte"
Q98.0,"Síndrome de Klinefelter, Cariótipo 47, XXY"
Q98.1,"Síndrome de Klinefelter, Homem Com Mais de Dois Cromossomos X"
Q98.2,"Síndrome de Klinefelter, Homem Com Cariótipo 46, XX"
Q98.3,"Outro Homem Com Cariótipo 46, XX"
Q98.4,Síndrome de Klinefelter Não Especificada
Q98.5,"Cariótipo 47, XYY"
Q98.6,Homem Com Cromossomos Sexuais de Estrutura Anormal
Q98.7,Homem Com Mosaicismo Dos Cromossomos Sexuais
Q98.8,"Outras Anomalias Especificadas Dos Cromossomos Sexuais, Fenótipo Masculino"
Q98.9,"Anomalias Não Especificadas Dos Cromossomos Sexuais, Fenótipo Masculino"
Q99,"Outras Anomalias Dos Cromossomos, Não Classificadas em Outra Parte"
Q99.0,"Quimera 46, XX/46, XY"
Q99.1,"Hermafrodite Verdadeiro 46, XX"
Q99.2,Cromossomo X Frágil
Q99.8,Outras Anomalias Cromossômicas Especificadas
Q99.9,Anomalia Cromossômica Não Especificada
R00,Anormalidades do Batimento Cardíaco
R00.0,Taquicardia Não Especificada
R00.1,Bradicardia Não Especificada
R00.2,Palpitações
R00.8,Outras Anormalidades e as Não Especificadas do Batimento Cardíaco
R01,Sopros e Outros Ruídos Cardíacos
R01.0,Sopros Cardíacos Benignos ou Inocentes
R01.1,"Sopro Cardíaco, Não Especificado"
R01.2,Outros Ruídos Cardíacos
R02,Gangrena Não Classificada em Outra Parte
R03,Valor Anormal da Pressão Arterial Sem Diagnóstico
R03.0,Valor Elevado da Pressão Arterial Sem o Diagnóstico de Hipertensão
R03.1,Valor Baixo da Pressão Arterial Não Específico
R04,Hemorragia Das Vias Respiratórias
R04.0,Epistaxis
R04.1,Hemorragia da Garganta
R04.2,Hemoptise
R04.8,Hemorragia de Outras Localizações Das Vias Respiratórias
R04.9,Hemorragia Não Especificada Das Vias Respiratórias
R05,Tosse
R06,Anormalidades da Respiração
R06.0,Dispnéia
R06.1,Estridor
R06.2,Respiração Ofegante
R06.3,Respiração Periódica
R06.4,Hiperventilação
R06.5,Respiração Pela Boca
R06.6,Soluço
R06.7,Espirro
R06.8,Outras Anormalidades e as Não Especificadas da Respiração
R07,Dor de Garganta e no Peito
R07.0,Dor de Garganta
R07.1,Dor Torácica ao Respirar
R07.2,Dor Precordial
R07.3,Outra Dor Torácica
R07.4,"Dor Torácica, Não Especificada"
R09,Outros Sintomas e Sinais Relativos Aos Aparelhos Circulatório e Respiratório
R09.0,Asfixia
R09.1,Pleurisia
R09.2,Parada Respiratória
R09.3,Escarro Anormal
R09.8,Outros Sintomas e Sinais Especificados Relativos Aos Aparelhos Circulatório e Respiratório
R10,Dor Abdominal e Pélvica
R10.0,Abdome Agudo
R10.1,Dor Localizada no Abdome Superior
R10.2,Dor Pélvica e Perineal
R10.3,Dor Localizada em Outras Partes do Abdome Inferior
R10.4,Outras Dores Abdominais e as Não Especificadas
R11,Náusea e Vômitos
R12,Pirose
R13,Disfagia
R14,Flatulência e Afecções Correlatas
R15,Incontinência Fecal
R16,Hepatomegalia e Esplenomegalia Não Classificadas em Outra Parte
R16.0,Hepatomegalia Não Classificada em Outra Parte
R16.1,Esplenomegalia Não Classificada em Outra Parte
R16.2,Hepatomegalia Com Esplenomegalia Não Classificada em Outra Parte
R17,Icterícia Não Especificada
R18,Ascite
R19,Outros Sintomas e Sinais Relativos ao Aparelho Digestivo e ao Abdome
R19.0,"Massa, Tumoração ou Tumefação Intra-abdominal e Pélvica"
R19.1,Ruídos Hidroaéreos Anormais
R19.2,Peristaltismo Visível
R19.3,Rigidez Abdominal
R19.4,Alteração do Hábito Intestinal
R19.5,Outras Anormalidades Fecais
R19.6,Halitose
R19.8,Outros Sintomas e Sinais Especificados Relativos ao Aparelho Digestivo e ao Abdome
R20,Distúrbios da Sensibilidade Cutânea
R20.0,Anestesia Cutânea
R20.1,Hipoestesia Cutânea
R20.2,Parestesias Cutâneas
R20.3,Hiperestesia
R20.8,Outros Distúrbios e os Não Especificadas da Sensibilidade Cutânea
R21,Eritema e Outras Erupções Cutâneas Não Especificadas
R22,"Tumefação, Massa ou Tumoração Localizadas da Pele e do Tecido Subcutâneo"
R22.0,"Tumefação, Massa ou Tumoração Localizadas da Cabeça"
R22.1,"Tumefação, Massa ou Tumoração Localizadas do Pescoço"
R22.2,"Tumefação, Massa ou Tumoração Localizadas do Tronco"
R22.3,"Tumefação, Massa ou Tumoração Localizadas de Membro Superior"
R22.4,"Tumefação, Massa ou Tumoração Localizadas no Membro Inferior"
R22.7,"Tumefação, Massa ou Tumoração Localizadas de Múltiplas Localizações"
R22.9,"Tumefação, Massa ou Tumoração Não Especificadas, Localizadas"
R23,Outras Alterações Cutâneas
R23.0,Cianose
R23.1,Palidez
R23.2,Rubor
R23.3,Equimoses Espontâneas
R23.4,Alterações na Textura da Pele
R23.8,Outras Alterações da Pele e as Não Especificadas
R25,Movimentos Involuntários Anormais
R25.0,Movimentos Anormais da Cabeça
R25.1,Tremor Não Especificado
R25.2,Cãibras e Espasmos
R25.3,Fasciculação
R25.8,Outros Movimentos Involuntários Anormais e os Não Especificados
R26,Anormalidades da Marcha e da Mobilidade
R26.0,Marcha Atáxica
R26.1,Marcha Paralítica
R26.2,Dificuldade Para Andar Não Classificada em Outra Parte
R26.8,Outras Anormalidades da Marcha e da Mobilidade e as Não Especificadas
R27,Outros Distúrbios da Coordenação
R27.0,Ataxia Não Especificada
R27.8,Outros Distúrbios da Coordenação e os Não Especificados
R29,Outros Sintomas e Sinais Relativos Aos Sistemas Nervoso e Osteomuscular
R29.0,Tetania
R29.1,Meningismo
R29.2,Reflexos Anormais
R29.3,Postura Anormal
R29.4,Quadril Estalante
R29.6,"Tendência a Queda, Não Classificada em Outra Parte"
R29.8,Outros Sintomas e Sinais Relativos Aos Sistemas Nervoso e Osteomuscular e os Não Especificados
R30,Dor Associada à Micção
R30.0,Disúria
R30.1,Tenesmo Vesical
R30.9,"Micção Dolorosa, Não Especificada"
R31,Hematúria Não Especificada
R32,Incontinência Urinária Não Especificada
R33,Retenção Urinária
R34,Anúria e Oligúria
R35,Poliúria
R36,Secreção Uretral
R39,Outros Sintomas e Sinais Relativos ao Aparelho Urinário
R39.0,Extravasamento de Urina
R39.1,Outras Dificuldades à Micção
R39.2,Uremia Extra-renal
R39.8,Outros Sintomas e Sinais Relativos ao Aparelho Urinário e os Não Especificados
R40,"Sonolência, Estupor e Coma"
R40.0,Sonolência
R40.1,Estupor
R40.2,Coma Não Especificado
R41,Outros Sintomas e Sinais Relativos à Função Cognitiva e à Consciência
R41.0,Desorientação Não Especificada
R41.1,Amnésia Anterógrada
R41.2,Amnésia Retrógrada
R41.3,Outra Amnésia
R41.8,Outros Sintomas e Sinais Especificados Relativos às Funções Cognitivas e à Consciência
R42,Tontura e Instabilidade
R43,Distúrbios do Olfato e do Paladar
R43.0,Anosmia
R43.1,Parosmia
R43.2,Parageusia
R43.8,Outros Distúrbios do Olfato e do Paladar e os Não Especificados
R44,Outros Sintomas e Sinais Relativos às Sensações e às Percepções Gerais
R44.0,Alucinações Auditivas
R44.1,Alucinações Visuais
R44.2,Outras Alucinações
R44.3,Alucinações Não Especificadas
R44.8,Outros Sintomas e Sinais Especificados Relativos às Sensações e Percepções Gerais
R45,Sintomas e Sinais Relativos ao Estado Emocional
R45.0,Nervosismo
R45.1,Agitação e Inquietação
R45.2,Tristeza
R45.3,Apatia e Desinteresse
R45.4,Irritabilidade e Mau Humor
R45.5,Hostilidade
R45.6,Violência Física
R45.7,"Estado de Choque Emocional e Tensão, Não Especificado"
R45.8,Outros Sintomas e Sinais Relativos ao Estado Emocional
R46,Sintomas e Sinais Relativos à Aparência e ao Comportamento
R46.0,Baixo Nível de Higiene Pessoal
R46.1,Aparência Pessoal Bizarra
R46.2,Comportamento Estranho e Inexplicável
R46.3,Hiperatividade
R46.4,Lentidão e Baixa Reatividade
